NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
2301,GRANTWOOD AVENUE,WOEHRLE AVENUE,S,11/12/2019 08:13:59,12/27/2019 23:59:59,DOT IN-HOUSE MILLING
34929,85 DRIVE,MANTON STREET,Q,06/19/2019 11:15:31,09/16/2019 23:59:59,DOT IN-HOUSE MILLING
34931,86 ROAD,139 STREET,Q,06/17/2019 15:57:21,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
34932,84 DRIVE,85 ROAD,Q,06/19/2019 12:47:05,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
34932,84 DRIVE,85 ROAD,Q,06/19/2019 12:47:05,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
34933,85 ROAD,143 STREET,Q,06/19/2019 12:47:08,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
34933,85 ROAD,143 STREET,Q,06/19/2019 12:47:08,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
34938,84 ROAD,DANIELS STREET,Q,07/11/2019 10:15:56,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
34938,84 ROAD,DANIELS STREET,Q,07/11/2019 10:15:57,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
34929,85 DRIVE,MANTON STREET,Q,06/19/2019 11:15:32,09/16/2019 23:59:59,DOT IN-HOUSE PAVING
17806,EAST   32 STREET,KINGS HIGHWAY,B,11/26/2019 00:00:00,11/27/2019 23:59:59,DOT IN-HOUSE PAVING
2301,GRANTWOOD AVENUE,WOEHRLE AVENUE,S,11/12/2019 08:14:00,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
54129,EAST  242 STREET,KATONAH AVENUE,X,10/11/2019 08:36:11,01/08/2020 23:59:59,DOT IN-HOUSE PAVING
23508,CENTRAL PARK WEST,WEST  100 STREET,M,11/15/2019 15:51:57,12/06/2019 23:59:59,DOT IN-HOUSE PAVING
54634,EAST  233 STREET,PRATT AVENUE,X,10/11/2019 08:34:46,01/08/2020 23:59:59,DOT IN-HOUSE PAVING
22771,EAST   68 STREET,MADISON AVENUE,M,06/24/2020 09:00:38,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
22772,EAST   69 STREET,MADISON AVENUE,M,06/24/2020 09:00:39,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
22773,EAST   70 STREET,MADISON AVENUE,M,06/24/2020 09:00:41,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
56719,160 STREET,CRYDERS LANE,Q,11/12/2019 14:24:10,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
56785,13 AVENUE,160 STREET,Q,11/12/2019 14:24:07,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
56786,12 ROAD,160 STREET,Q,11/12/2019 14:24:05,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
23206,22 STREET,QNSBO BR UP RY EXIT RAMP,Q,08/05/2020 15:54:36,10/30/2020 23:59:59,DOT IN-HOUSE PAVING
23276,BROADWAY,WEST   83 STREET,M,06/16/2020 14:36:06,08/01/2020 23:58:59,CONTRACT ROADWAY MILLING
22798,1 AVENUE,EAST   54 STREET,M,06/24/2020 08:57:08,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
22832,3 AVENUE,EAST   63 STREET,M,06/24/2020 09:06:43,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
23274,BROADWAY,WEST   81 STREET,M,06/16/2020 14:36:04,08/01/2020 23:58:59,CONTRACT ROADWAY MILLING
23271,AMSTERDAM AVENUE,WEST   78 STREET,M,06/24/2020 09:10:14,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
23272,AMSTERDAM AVENUE,WEST   79 STREET,M,06/24/2020 09:10:16,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
23274,BROADWAY,WEST   81 STREET,M,06/24/2020 09:14:12,07/11/2020 23:59:59,DOT IN-HOUSE PAVING
65827,EASTERN PARKWAY,TRUXTON STREET,B,09/16/2019 00:00:00,09/20/2019 23:59:59,DOT IN-HOUSE PAVING
23275,BROADWAY,WEST   82 STREET,M,06/16/2020 14:36:05,08/01/2020 23:58:59,CONTRACT ROADWAY MILLING
51604,14 ROAD,115 STREET,Q,12/01/2020 00:00:00,01/01/2021 23:58:59,PLACE CRANE OR SHOVEL ON STREET
59120,56 AVENUE,FRESH MEADOW LANE,Q,10/22/2019 15:30:57,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59120,56 AVENUE,FRESH MEADOW LANE,Q,10/22/2019 15:30:57,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59177,56 AVENUE,175 STREET,Q,10/22/2019 15:32:11,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59178,50 AVENUE,FRESH MEADOW LANE,Q,10/22/2019 15:30:55,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59178,50 AVENUE,FRESH MEADOW LANE,Q,10/22/2019 15:30:55,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59178,50 AVENUE,175 STREET,Q,10/22/2019 15:32:08,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
69616,DEAD END,LONGFELLOW AVENUE,X,09/19/2019 00:00:00,09/20/2019 23:59:59,DOT IN-HOUSE PAVING
59185,FRESH MEADOW LANE,PECK AVENUE,Q,10/22/2019 15:30:53,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59299,191 STREET,NORTHERN BOULEVARD,Q,10/23/2019 14:37:41,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
56788,11 AVENUE,160 STREET,Q,11/12/2019 14:24:02,12/27/2019 23:59:59,DOT IN-HOUSE PAVING
18074,CORTELYOU ROAD,EAST   14 STREET,B,08/09/2021 00:00:00,08/12/2021 23:59:59,DOT IN-HOUSE PAVING
18075,DORCHESTER ROAD,EAST   14 STREET,B,08/09/2021 00:00:00,08/12/2021 23:59:59,DOT IN-HOUSE PAVING
18081,BEVERLY ROAD,EAST   14 STREET,B,08/09/2021 00:00:00,08/12/2021 23:59:59,DOT IN-HOUSE PAVING
18084,ALBEMARLE ROAD,EAST   14 STREET,B,08/09/2021 00:00:00,08/12/2021 23:59:59,DOT IN-HOUSE PAVING
65506,GRACE COURT ALLEY,HICKS STREET,B,07/29/2020 00:00:00,08/05/2020 23:59:59,DOT IN-HOUSE MILLING
23205,22 STREET,43 AVENUE,Q,08/14/2020 12:17:04,10/30/2020 23:59:59,DOT IN-HOUSE PAVING
107021,NAGLE AVENUE,NYCTA SUBWAY,M,07/09/2019 09:54:34,08/08/2019 23:59:59,DOT IN-HOUSE PAVING
107022,HILLSIDE AVENUE,NAGLE AVENUE,M,07/09/2019 09:54:30,08/08/2019 23:59:59,DOT IN-HOUSE PAVING
37063,168 STREET,HIGHLAND AVENUE,Q,07/11/2019 10:21:32,09/13/2019 23:59:59,DOT IN-HOUSE MILLING
37063,168 STREET,HIGHLAND AVENUE,Q,07/11/2019 10:21:33,09/13/2019 23:59:59,DOT IN-HOUSE PAVING
59299,191 STREET,NORTHERN BOULEVARD,Q,10/23/2019 14:37:42,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59304,42 AVENUE,191 STREET,Q,10/23/2019 14:37:39,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
53046,BLACKROCK AVENUE,ZEREGA AVENUE,X,05/31/2019 14:10:25,08/28/2019 23:59:59,DOT IN-HOUSE PAVING
53047,WATSON AVENUE,ZEREGA AVENUE,X,05/31/2019 14:10:27,08/28/2019 23:59:59,DOT IN-HOUSE PAVING
53089,NEWBOLD AVENUE,ZEREGA AVENUE,X,05/31/2019 14:10:34,08/28/2019 23:59:59,DOT IN-HOUSE PAVING
59304,42 AVENUE,191 STREET,Q,10/23/2019 14:37:40,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59305,191 STREET,STATION ROAD,Q,10/23/2019 14:37:37,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59305,191 STREET,STATION ROAD,Q,10/23/2019 14:37:37,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59307,192 STREET,STATION ROAD,Q,10/23/2019 14:39:15,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
89049,BROADWAY,EASTERN PARKWAY,B,09/16/2019 00:00:00,09/20/2019 23:59:59,DOT IN-HOUSE PAVING
59307,192 STREET,STATION ROAD,Q,10/23/2019 14:39:15,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
9029432,AVENUE H,EAST   40 STREET,B,11/18/2019 00:00:00,11/19/2019 23:59:59,DOT IN-HOUSE PAVING
59311,193 STREET,STATION ROAD,Q,10/23/2019 14:39:16,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
59311,193 STREET,STATION ROAD,Q,10/23/2019 14:39:17,12/13/2019 23:59:59,DOT IN-HOUSE PAVING
59312,194 STREET,STATION ROAD,Q,10/23/2019 14:35:23,12/13/2019 23:59:59,DOT IN-HOUSE MILLING
