NODEID,ONSTREETNAME,FROMSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
13010,CANAL AVENUE,WEST   17 STREET,B,05/17/2018 00:00:00,05/21/2018 23:59:59,DOT IN-HOUSE PAVING
13011,BELT PKWY EB EN CROPSEY AVE SB,BAY   52 STREET,B,05/17/2018 00:00:00,05/21/2018 23:59:59,DOT IN-HOUSE PAVING
108018,RIVERSIDE BOULEVARD,WEST   63 STREET,M,12/04/2017 00:00:00,12/05/2017 23:59:59,DOT IN-HOUSE PAVING
101964,87 AVENUE,233 STREET,Q,10/06/2017 14:10:27,01/01/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
17361,AVENUE K,EAST    7 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
21263,DYER AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
21226,11 AVENUE,WEST   43 STREET,M,11/06/2017 00:00:00,11/07/2017 23:59:59,DOT IN-HOUSE PAVING
17414,AVENUE K,EAST    8 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
17416,AVENUE K,EAST    9 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
17418,AVENUE K,EAST   10 STREET,B,07/31/2017 00:00:00,08/02/2017 23:59:59,DOT IN-HOUSE PAVING
21304,10 AVENUE,WEST   43 STREET,M,11/06/2017 00:00:00,11/07/2017 23:59:59,DOT IN-HOUSE PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
23479,5 AVENUE,EAST   77 STREET,M,11/27/2017 00:00:00,11/29/2017 23:59:59,DOT IN-HOUSE PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
21620,WEST   61 DRIVE,WEST END AVENUE,M,11/16/2017 00:00:00,11/21/2017 23:59:59,DOT IN-HOUSE PAVING
108016,WEST   62 STREET,WEST END AVENUE,M,09/25/2017 00:00:00,11/15/2017 23:58:59,CONTRACT ROADWAY PAVING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 00:00:00,01/18/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
15601,BAXTER STREET,WORTH STREET,M,12/09/2017 00:00:00,12/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
16463,AVENUE S,MC DONALD AVENUE,B,02/23/2018 00:00:00,03/06/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
16463,AVENUE S,MC DONALD AVENUE,B,02/24/2018 00:00:00,03/06/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
45766,78 STREET,HORACE HARDING EXPRESSWAY,Q,01/10/2018 06:53:52,02/10/2018 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
21268,WEST   37 STREET,LINCOLN TNNL APPROACH,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
21274,9 AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
14995,5 AVENUE,9 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
14996,5 AVENUE,8 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
21345,8 AVENUE,WEST   37 STREET,M,10/10/2017 00:00:00,10/11/2017 23:59:59,DOT IN-HOUSE PAVING
14997,5 AVENUE,7 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
22715,5 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:36,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22772,EAST   69 STREET,MADISON AVENUE,M,05/30/2017 14:49:36,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22776,EAST   69 STREET,PARK AVENUE,M,05/30/2017 14:49:37,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22846,EAST   69 STREET,LEXINGTON AVENUE,M,05/30/2017 14:49:37,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22849,3 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:38,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22929,2 AVENUE,EAST   69 STREET,M,05/30/2017 15:44:03,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
22994,EAST   69 STREET,YORK AVENUE,M,05/30/2017 14:49:39,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
22997,1 AVENUE,EAST   69 STREET,M,05/30/2017 14:49:38,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23090,EAST   77 STREET,YORK AVENUE,M,05/30/2017 14:49:41,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
14998,5 AVENUE,6 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
14999,5 AVENUE,5 STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
23479,5 AVENUE,EAST   77 STREET,M,06/01/2017 10:38:26,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23482,EAST   77 STREET,MADISON AVENUE,M,05/30/2017 14:49:39,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23485,EAST   77 STREET,PARK AVENUE,M,05/30/2017 14:49:40,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23524,3 AVENUE,EAST   77 STREET,M,06/13/2017 12:39:17,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23527,EAST   77 STREET,LEXINGTON AVENUE,M,05/30/2017 14:49:40,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23545,EAST   85 STREET,PARK AVENUE,M,08/26/2017 00:00:00,08/28/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
23545,EAST   85 STREET,PARK AVENUE,M,08/26/2017 00:00:00,08/28/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
23573,2 AVENUE,EAST   77 STREET,M,05/30/2017 14:49:41,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23586,3 AVENUE,EAST   84 STREET,M,06/13/2017 12:39:18,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23587,3 AVENUE,EAST   85 STREET,M,06/13/2017 12:39:18,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23632,1 AVENUE,EAST   77 STREET,M,06/05/2017 13:22:15,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23643,2 AVENUE,EAST   84 STREET,M,05/30/2017 14:49:43,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23644,2 AVENUE,EAST   85 STREET,M,05/30/2017 14:49:44,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
23700,1 AVENUE,EAST   84 STREET,M,06/05/2017 13:22:16,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23701,EAST   82 STREET,YORK AVENUE,M,05/30/2017 14:49:42,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23703,EAST   84 STREET,YORK AVENUE,M,05/30/2017 14:49:43,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23706,1 AVENUE,EAST   85 STREET,M,06/05/2017 13:22:16,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23712,2 AVENUE,EAST   91 STREET,M,06/13/2017 12:39:17,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23715,1 AVENUE,EAST   91 STREET,M,06/05/2017 13:22:15,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23761,EAST   82 STREET,EAST END AVENUE,M,05/30/2017 14:49:42,08/28/2017 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
23787,EAST   91 STREET,YORK AVENUE,M,05/31/2017 14:17:40,08/28/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
15005,3 STREET,5 AVENUE,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
13232,15 AVENUE,86 STREET,B,09/24/2018 00:00:00,10/01/2018 23:59:59,DOT IN-HOUSE PAVING
17847,17 AVENUE,42 STREET,B,07/31/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE PAVING
15061,2 STREET,5 AVENUE,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
18563,5 AVENUE,ST MARKS AVENUE,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
18564,5 AVENUE,BERGEN STREET,B,10/23/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
69101,FR CAPODANNO BOULEVARD,SUNNYMEADE VILLAGE,S,01/20/2018 00:00:00,01/22/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
22125,DOBBIN STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
23504,C P WEST   96 APPROACH,C P WEST DRIVE,M,11/08/2017 00:00:00,11/22/2017 23:59:59,DOT IN-HOUSE PAVING
22196,GUERNSEY STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
15905,JOHN STREET,PEARL STREET,B,01/16/2018 15:11:34,01/18/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
15905,JOHN STREET,PEARL STREET,B,01/16/2018 15:11:34,01/18/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
15905,JOHN STREET,PEARL STREET,B,01/16/2018 15:11:35,01/18/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
23701,EAST   82 STREET,YORK AVENUE,M,11/20/2017 00:00:00,11/22/2017 23:59:59,DOT IN-HOUSE PAVING
23761,EAST   82 STREET,EAST END AVENUE,M,11/20/2017 00:00:00,11/22/2017 23:59:59,DOT IN-HOUSE PAVING
30013,60 PLACE,PUTNAM AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30013,60 PLACE,PUTNAM AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30014,60 PLACE,MADISON STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
21315,12 AVENUE,WEST   51 STREET,M,10/02/2017 00:00:00,10/03/2017 23:59:59,DOT IN-HOUSE PAVING
30095,60 LANE,68 AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
21318,11 AVENUE,WEST   51 STREET,M,10/02/2017 00:00:00,10/03/2017 23:59:59,DOT IN-HOUSE PAVING
15870,ADAMS STREET,BROOKLYN QNS EXPRESSWAY,B,10/18/2017 00:00:00,10/20/2017 23:59:59,DOT IN-HOUSE PAVING
21148,11 AVENUE,WEST   35 STREET,M,10/18/2017 00:00:00,10/20/2017 23:59:59,DOT IN-HOUSE PAVING
21207,10 AVENUE,WEST   35 STREET,M,10/18/2017 00:00:00,10/20/2017 23:59:59,DOT IN-HOUSE PAVING
21211,WEST   35 STREET,LINCOLN TNNL APPROACH,M,10/18/2017 00:00:00,10/20/2017 23:59:59,DOT IN-HOUSE PAVING
22571,EAST   40 STREET,QNS MDTWN TNNL EXIT,M,01/19/2018 00:00:00,01/22/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
22571,EAST   40 STREET,QNS MDTWN TNNL EXIT,M,01/19/2018 00:00:00,01/22/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
22571,EAST   40 STREET,QNS MDTWN TNNL EXIT,M,01/19/2018 00:00:00,01/22/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
20216,6 AVENUE,LISPENARD STREET,M,04/02/2018 00:00:00,04/06/2018 23:59:59,DOT IN-HOUSE PAVING
20217,CHURCH STREET,WHITE STREET,M,04/02/2018 00:00:00,04/06/2018 23:59:59,DOT IN-HOUSE PAVING
30095,60 LANE,68 AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
21366,10 AVENUE,WEST   51 STREET,M,10/02/2017 00:00:00,10/03/2017 23:59:59,DOT IN-HOUSE PAVING
21422,9 AVENUE,WEST   51 STREET,M,10/02/2017 00:00:00,10/03/2017 23:59:59,DOT IN-HOUSE PAVING
28042,CYPRESS AVENUE,GATES AVENUE,Q,08/01/2017 00:00:00,09/04/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
30104,FRESH POND ROAD,LINDEN STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
29899,ONDERDONK AVENUE,PALMETTO STREET,Q,08/01/2017 00:00:00,09/04/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
30104,FRESH POND ROAD,LINDEN STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30106,FRESH POND ROAD,PALMETTO STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30117,64 STREET,LINDEN STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30117,64 STREET,LINDEN STREET,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30159,60 LANE,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30175,62 STREET,CATALPA AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30203,65 PLACE,METROPOLITAN AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30203,65 PLACE,METROPOLITAN AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30204,65 LANE,ADMIRAL AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
24363,RIVERSIDE DRIVE,WEST  158 STREET,M,09/22/2017 00:00:00,09/25/2017 23:59:59,DOT IN-HOUSE PAVING
24393,RIVERSIDE DRIVE,WEST  158 STREET,M,09/22/2017 00:00:00,09/25/2017 23:59:59,DOT IN-HOUSE PAVING
24397,BROADWAY,WEST  158 STREET,M,09/22/2017 00:00:00,09/25/2017 23:59:59,DOT IN-HOUSE PAVING
30204,65 LANE,ADMIRAL AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30205,65 LANE,METROPOLITAN AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30205,65 LANE,METROPOLITAN AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30253,64 PLACE,SHALER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
42313,24 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
42313,24 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
30257,65 STREET,SHALER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
42313,24 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
42313,24 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE MATERIAL ON STREET
42313,24 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
42318,23 ROAD,29 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
42318,23 ROAD,29 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
42318,23 ROAD,29 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
42318,23 ROAD,29 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE MATERIAL ON STREET
42318,23 ROAD,29 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
42358,23 ROAD,32 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
42358,23 ROAD,32 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
42358,23 ROAD,32 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
42358,23 ROAD,32 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE MATERIAL ON STREET
42358,23 ROAD,32 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
42363,23 ROAD,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
42363,23 ROAD,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
42363,23 ROAD,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
42363,23 ROAD,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE MATERIAL ON STREET
42366,23 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
42366,23 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE CRANE OR SHOVEL ON STREET
42366,23 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
42366,23 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,PLACE MATERIAL ON STREET
42366,23 AVENUE,31 STREET,Q,08/11/2017 00:00:00,09/11/2017 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
30266,65 STREET,CATALPA AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30268,65 PLACE,68 AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30269,65 PLACE,CATALPA AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30269,65 PLACE,CATALPA AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30301,67 STREET,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30301,67 STREET,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30302,67 STREET,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30307,67 STREET,70 AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30308,67 STREET,CENTRAL AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
23370,RIVERSIDE DRIVE,WEST   96 STREET,M,10/16/2017 10:13:43,10/20/2017 23:59:59,DOT IN-HOUSE MILLING
23376,WEST   96 STREET,WEST END AVENUE,M,10/16/2017 10:13:42,10/20/2017 23:59:59,DOT IN-HOUSE MILLING
30362,68 STREET,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30362,68 STREET,MYRTLE AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30364,68 STREET,COOPER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
21488,9 AVENUE,WEST   58 STREET,M,10/19/2017 00:00:00,10/23/2017 23:59:59,DOT IN-HOUSE PAVING
30364,68 STREET,COOPER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
23415,BROADWAY,WEST   96 STREET,M,10/16/2017 10:13:40,10/20/2017 23:59:59,DOT IN-HOUSE MILLING
23418,AMSTERDAM AVENUE,WEST   96 STREET,M,10/16/2017 10:13:39,10/20/2017 23:59:59,DOT IN-HOUSE MILLING
21579,12 AVENUE,WEST   58 STREET,M,10/19/2017 00:00:00,10/23/2017 23:59:59,DOT IN-HOUSE PAVING
30368,69 STREET,COOPER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30368,69 STREET,COOPER AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30380,69 PLACE,OTTO ROAD,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
30380,69 PLACE,OTTO ROAD,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE PAVING
30382,69 PLACE,70 AVENUE,Q,09/18/2017 00:00:00,10/31/2017 23:59:59,DOT IN-HOUSE MILLING
22322,NEWELL STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
22329,DIAMOND STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
18914,FRANKLIN AVENUE,FULTON STREET,B,10/20/2017 10:07:11,10/25/2017 23:59:59,DOT IN-HOUSE MILLING
22415,JEWELL STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
22416,HUMBOLDT STREET,NORMAN AVENUE,B,07/30/2018 00:00:00,08/03/2018 23:59:59,DOT IN-HOUSE MILLING
23561,102 STREET CROSSING,WEST DRIVE,M,11/08/2017 00:00:00,11/22/2017 23:59:59,DOT IN-HOUSE PAVING
16069,FLEET WALK,PRINCE STREET,B,07/16/2018 00:00:00,07/20/2018 23:59:59,DOT IN-HOUSE PAVING
21669,WEST   71 STREET,WEST END AVENUE,M,10/26/2017 00:00:00,11/01/2017 23:59:59,DOT IN-HOUSE PAVING
21670,WEST   72 STREET,WEST END AVENUE,M,10/26/2017 00:00:00,11/01/2017 23:59:59,DOT IN-HOUSE PAVING
23503,CENTRAL PARK WEST,TRANSVERSE ROAD FOUR,M,01/20/2018 00:00:00,01/21/2018 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
33864,116 STREET,ROCKAWAY BOULEVARD,Q,06/26/2017 00:00:00,08/28/2017 23:59:59,DOT IN-HOUSE PAVING
21669,WEST   71 STREET,WEST END AVENUE,M,09/25/2017 00:00:00,11/15/2017 23:58:59,CONTRACT ROADWAY PAVING
26422,AVENUE B,EAST   86 STREET,B,11/06/2017 00:00:00,11/09/2017 23:59:59,DOT IN-HOUSE MILLING
26424,AVENUE B,EAST   87 STREET,B,11/06/2017 00:00:00,11/09/2017 23:59:59,DOT IN-HOUSE MILLING
41336,12 STREET,38 AVENUE,Q,07/20/2017 08:06:31,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
41337,13 STREET,38 AVENUE,Q,07/20/2017 08:07:32,08/31/2017 23:59:59,DOT IN-HOUSE PAVING
22992,EAST   67 STREET,YORK AVENUE,M,02/20/2018 14:13:21,03/05/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
23327,CENTRAL PARK WEST,WEST   73 STREET,M,10/18/2017 16:07:52,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23328,CENTRAL PARK WEST,WEST   74 STREET,M,10/18/2017 16:07:53,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23329,CENTRAL PARK WEST,WEST   75 STREET,M,10/18/2017 16:08:14,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23335,CENTRAL PARK WEST,WEST   76 STREET,M,10/18/2017 16:08:14,01/01/2018 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
22992,EAST   67 STREET,YORK AVENUE,M,02/20/2018 14:13:22,03/05/2018 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
22992,EAST   67 STREET,YORK AVENUE,M,02/20/2018 14:13:22,03/05/2018 23:58:59,PLACE CRANE OR SHOVEL ON STREET
33023,BEACH   99 STREET,ROCKAWAY BEACH BOULEVARD,Q,06/20/2017 13:05:18,09/16/2017 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
26275,BEVERLY ROAD,EAST   54 STREET,B,12/04/2017 00:00:00,12/08/2017 23:59:59,DOT IN-HOUSE PAVING
26278,EAST   54 STREET,TILDEN AVENUE,B,12/04/2017 00:00:00,12/08/2017 23:59:59,DOT IN-HOUSE PAVING
23466,COLUMBUS AVENUE,WEST   96 STREET,M,10/16/2017 10:13:38,10/20/2017 23:59:59,DOT IN-HOUSE MILLING
26450,EAST   95 STREET,WILLMOHR STREET,B,10/25/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
26517,EAST   96 STREET,WILLMOHR STREET,B,10/25/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
26893,EAST   91 STREET,RUTLAND ROAD,B,10/25/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
26894,EAST   92 STREET,RUTLAND ROAD,B,10/25/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
26896,EAST   93 STREET,RUTLAND ROAD,B,10/25/2017 00:00:00,10/27/2017 23:59:59,DOT IN-HOUSE PAVING
14796,CARROLL STREET,SMITH STREET,B,08/13/2018 00:00:00,08/20/2018 23:59:59,DOT IN-HOUSE PAVING
14797,CARROLL STREET,SMITH STREET,B,08/13/2018 00:00:00,08/20/2018 23:59:59,DOT IN-HOUSE PAVING
14798,PRESIDENT STREET,SMITH STREET,B,08/13/2018 00:00:00,08/20/2018 23:59:59,DOT IN-HOUSE PAVING
14799,PRESIDENT STREET,SMITH STREET,B,08/13/2018 00:00:00,08/20/2018 23:59:59,DOT IN-HOUSE PAVING
